Gene.symbol	Gene.ID	adj.P.Val	P.Value	logFC
MPDZ	8777	2.56592417544158e-36	7.93887619640971e-41	-3.67006387844445
PRKG2	5593	5.8872342907795e-30	3.64297781057486e-34	-5.87476460055556
CHRM3	1131	3.20042911460231e-28	2.9706034292896e-32	-4.37856988838889
FREM1	158326	1.11956657176529e-23	1.38555932275027e-27	-3.4098246065
NKAIN2	154215	5.16667547806502e-23	7.99275312964485e-27	-4.67348965777778
HLF	3131	2.78680651570533e-20	5.1733668804282e-24	-4.14036367338889
NAP1L3	4675	6.5636335375141e-20	1.42153506273317e-23	-4.12074150494445
PBX1	5087	1.92818501064265e-18	4.77258750816533e-22	-4.19551911222222
		1.96688489322425e-18	5.47692337459184e-22	-2.67626104872222
SGIP1	84251	1.97277280589261e-18	6.10368740414162e-22	-2.26668834611111
PLCB4	5332	8.12978474975243e-18	2.76685845881244e-21	-3.436481563
CRHBP	1393	1.6865169652035e-17	6.26162667691037e-21	-4.41211256005555
SGCZ	137868	1.48108174001193e-16	5.95713703788718e-20	-1.87749534672222
FAT4	79633	3.46389806976728e-16	1.50040447315188e-19	-1.72822099711111
ST6GAL2	84620	1.23803671338411e-15	5.74566093275632e-19	-2.07099867272222
EMCN	51705	2.12337298832072e-15	1.05114222372858e-18	-2.34925887205555
RPS6KA6	27330	2.76502588420455e-14	1.45433124072514e-17	-2.28648589972222
HFM1	164045	4.9884219443098e-14	2.78102802462706e-17	-1.74752571233333
PRKG1	5592	4.9884219443098e-14	2.93245929710981e-17	-1.97547089594445
DTX3	196403	3.65617833642273e-13	2.35804209161414e-16	-1.8900337425
ELN	2006	3.65617833642273e-13	2.37553742349795e-16	-1.94814958
LIMCH1	22998	3.94098287577559e-13	2.68251673113651e-16	-2.21014730072222
FYB	2533	7.38140615481425e-13	5.25269458125453e-16	4.38238276816667
BEX2	84707	9.98627468414601e-13	7.41532107359006e-16	-2.70245587916667
PLOD2	5352	1.29222685481124e-12	9.9952573776433e-16	-4.35933577477778
PRKCD	5580	1.41104989751532e-12	1.13509165358121e-15	2.97252833266667
CEP126	57562	1.67880196137771e-12	1.40242111807178e-15	-2.77985165477778
RNF150	57484	1.87413301150335e-12	1.62357984969814e-15	-2.08046266911111
ADGRG6	57211	2.18025875040794e-12	1.95623600018039e-15	-4.53988456877778
SPOCK3	50859	2.66824082691106e-12	2.47663205987846e-15	-2.01924801716667
NUDT11	55190	4.86429713831298e-12	4.66548718442197e-15	-3.17347958394445
		5.1776628574227e-12	5.12624025981642e-15	-2.97287592405556
CDH7	1005	5.53404784500768e-12	5.65030719610326e-15	-1.71811622361111
LRCH2	57631	1.63069756313587e-11	1.71540846962097e-14	-2.05384542405556
CNN3	1266	1.9750249109582e-11	2.13872936739386e-14	-3.2901396115
PDZD2	23037	3.69757473249611e-11	4.11845828934315e-14	-2.441912577
VWDE	221806	4.71763214621016e-11	5.40058752544092e-14	-3.76142551894444
		5.18492206012993e-11	6.09594499814168e-14	-3.27643130972222
		3.26887934884873e-10	3.94437964806473e-13	-2.49897428161111
ELAC2///HMGA2///HMGA2	60528///8091///8091	3.49900754532929e-10	4.33032090013216e-13	-2.19927881311111
CTSF	8722	4.13547134236972e-10	5.24594922920573e-13	-2.12292367677778
FAM19A2	338811	5.00745237922946e-10	6.50700782548923e-13	-3.51643468888889
SLC22A17	51310	5.73522989926854e-10	7.63017498433054e-13	-1.85750208744444
SDR42E1	93517	9.31544310530532e-10	1.26815227447614e-12	-2.41420726588889
