Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
sterol binding (GO:0032934)	7/60	0.006173543979966291	0.757269964955646	0	0	3.4954519465668694	17.783049618500556	GRAMD1C;STARD4;INSIG2;INSIG1;NR1H3;PROM1;ABCG1
bis(5'-adenosyl)-hexaphosphatase activity (GO:0034431)	2/5	0.012460331939801651	0.757269964955646	0	0	17.568627450980394	77.04203514681507	NUDT11;NUDT10
bis(5'-adenosyl)-pentaphosphatase activity (GO:0034432)	2/5	0.012460331939801651	0.757269964955646	0	0	17.568627450980394	77.04203514681507	NUDT11;NUDT10
cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication (GO:0086083)	2/5	0.012460331939801651	0.757269964955646	0	0	17.568627450980394	77.04203514681507	PKP2;DSG2
diphosphoinositol-polyphosphate diphosphatase activity (GO:0008486)	2/5	0.012460331939801651	0.757269964955646	0	0	17.568627450980394	77.04203514681507	NUDT11;NUDT10
endopolyphosphatase activity (GO:0000298)	2/5	0.012460331939801651	0.757269964955646	0	0	17.568627450980394	77.04203514681507	NUDT11;NUDT10
phosphatidylcholine floppase activity (GO:0090554)	2/5	0.012460331939801651	0.757269964955646	0	0	17.568627450980394	77.04203514681507	ABCB1;ABCG1
carbohydrate:proton symporter activity (GO:0005351)	2/7	0.024920503668819483	0.757269964955646	0	0	10.540082079343366	38.914661542469666	SLC45A3;SLC2A10
oxysterol binding (GO:0008142)	2/7	0.024920503668819483	0.757269964955646	0	0	10.540082079343366	38.914661542469666	INSIG2;INSIG1
cholesterol transfer activity (GO:0120020)	3/18	0.0265321177584982	0.757269964955646	0	0	5.2745205479452055	19.143341126376786	GRAMD1C;STARD4;ABCG1
phosphatidylcholine transporter activity (GO:0008525)	3/18	0.0265321177584982	0.757269964955646	0	0	5.2745205479452055	19.143341126376786	ABCB1;ATP8B2;ABCG1
sterol transfer activity (GO:0120015)	3/19	0.030669123862130648	0.757269964955646	0	0	4.944606164383561	17.2294745818678	GRAMD1C;STARD4;ABCG1
CD4 receptor binding (GO:0042609)	2/8	0.032430260462119095	0.757269964955646	0	0	8.782945736434108	30.11376395110126	PLSCR4;HLA-DRB1
cholesterol binding (GO:0015485)	5/50	0.03557974883864823	0.757269964955646	0	0	2.9337606837606836	9.78696302233675	GRAMD1C;STARD4;NR1H3;PROM1;ABCG1
voltage-gated sodium channel activity (GO:0005248)	3/22	0.044971151724539866	0.757269964955646	0	0	4.163229992790194	12.913232299786717	SCN9A;PKD2;SCN3A
protein binding involved in heterotypic cell-cell adhesion (GO:0086080)	2/10	0.049661234462095194	0.757269964955646	0	0	6.586525307797538	19.776244053941994	PKP2;DSG2
transforming growth factor beta binding (GO:0050431)	3/24	0.056032397187802584	0.757269964955646	0	0	3.766340508806262	10.853935119301097	CD109;LTBP4;LTBP3
calmodulin-dependent protein kinase activity (GO:0004683)	3/24	0.056032397187802584	0.757269964955646	0	0	3.766340508806262	10.853935119301097	CAMK1D;DAPK1;PHKA1
3'-5'-exodeoxyribonuclease activity (GO:0008296)	2/11	0.059255100666787804	0.757269964955646	0	0	5.85438516491868	16.543927033014842	EXD2;TATDN1
AMP binding (GO:0016208)	2/11	0.059255100666787804	0.757269964955646	0	0	5.85438516491868	16.543927033014842	MPPED2;PFKM
transaminase activity (GO:0008483)	2/11	0.059255100666787804	0.757269964955646	0	0	5.85438516491868	16.543927033014842	AADAT;BCAT1
filamin binding (GO:0031005)	2/11	0.059255100666787804	0.757269964955646	0	0	5.85438516491868	16.543927033014842	TMEM67;DPYSL3
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines (GO:0016813)	2/11	0.059255100666787804	0.757269964955646	0	0	5.85438516491868	16.543927033014842	ARG2;DDAH2
protein homodimerization activity (GO:0042803)	31/636	0.06601367132022962	0.757269964955646	0	0	1.362157707612253	3.702199466695177	EXD2;BHLHB9;SPPL2B;NPR3;RNF8;DPY30;PKD2;GIMAP7;LRP6;PPCS;HES1;GBP4;GSTM3;CDADC1;RBPMS;HMGCS1;MME;PRMT2;AADAT;TPM2;ZBTB38;EPHX2;TPM1;NOG;WDR54;GGCT;BST2;ALS2;HOOK1;CHMP4C;ABCG1
cell-cell adhesion mediator activity (GO:0098632)	4/42	0.06688844209398552	0.757269964955646	0	0	2.776550429571872	7.509816718630492	ROBO4;KRT18;PALLD;CNN3
transforming growth factor beta-activated receptor activity (GO:0005024)	2/12	0.06942242250935049	0.757269964955646	0	0	5.268673050615595	14.054424416645231	LTBP4;BMPR1B
exodeoxyribonuclease activity, producing 5'-phosphomonoesters (GO:0016895)	2/12	0.06942242250935049	0.757269964955646	0	0	5.268673050615595	14.054424416645231	EXD2;TATDN1
glycerophospholipid flippase activity (GO:0140333)	2/12	0.06942242250935049	0.757269964955646	0	0	5.268673050615595	14.054424416645231	ABCB1;ATP8B2
m7G(5')pppN diphosphatase activity (GO:0050072)	2/12	0.06942242250935049	0.757269964955646	0	0	5.268673050615595	14.054424416645231	NUDT11;NUDT10
GDP-dissociation inhibitor activity (GO:0005092)	2/13	0.08010840644479467	0.757269964955646	0	0	4.78945404800398	12.090375576901712	GPSM2;SH3BP4
sodium ion transmembrane transporter activity (GO:0015081)	3/28	0.08156585783332182	0.757269964955646	0	0	3.1630684931506847	7.927739363553462	SLC8A3;SLC4A8;SLC9A7
protein kinase C binding (GO:0005080)	4/45	0.08186650784866485	0.757269964955646	0	0	2.572986717521496	6.4393246044756225	PARD6B;PKP2;ADCY6;DACT1
endopeptidase regulator activity (GO:0061135)	4/46	0.08719640500692155	0.757269964955646	0	0	2.511594486903129	6.127266259287229	ABCA2;SPINK2;APH1B;SPINT2
metalloendopeptidase inhibitor activity (GO:0008191)	2/14	0.09126149542376256	0.757269964955646	0	0	4.390104879160967	10.510026616011485	BST2;SPOCK3
WW domain binding (GO:0050699)	3/30	0.09589881155277928	0.757269964955646	0	0	2.928462709284627	6.865668631741249	TCEAL2;RAPGEF2;TCEAL9
guanyl-nucleotide exchange factor activity (GO:0005085)	9/149	0.0975927260669917	0.757269964955646	0	0	1.6983326756116812	3.9519391534348833	PREX2;FGD5;ALS2;ARHGEF17;RAPGEF2;SERGEF;DOCK1;RAPGEF3;RCC1L
3'-5' exonuclease activity (GO:0008408)	4/48	0.09834345233456869	0.757269964955646	0	0	2.39718169347799	5.559757879424914	EXD2;TATDN1;REXO2;REXO4
manganese ion binding (GO:0030145)	4/48	0.09834345233456869	0.757269964955646	0	0	2.39718169347799	5.559757879424914	EXD2;ARG2;MPPED2;ABO
aspartic-type endopeptidase activity (GO:0004190)	2/15	0.10283320583583672	0.757269964955646	0	0	4.05219404398611	9.217310880306075	SPPL2B;REN
Wnt-activated receptor activity (GO:0042813)	2/15	0.10283320583583672	0.757269964955646	0	0	4.05219404398611	9.217310880306075	FZD3;FZD6
muscle alpha-actinin binding (GO:0051371)	2/15	0.10283320583583672	0.757269964955646	0	0	4.05219404398611	9.217310880306075	PALLD;PKD2
nucleotide diphosphatase activity (GO:0004551)	2/15	0.10283320583583672	0.757269964955646	0	0	4.05219404398611	9.217310880306075	NUDT11;NUDT10
alpha-tubulin binding (GO:0043014)	3/31	0.10342306575128771	0.757269964955646	0	0	2.8237279843444227	6.406833423225752	BEX4;PACRG;EFHC2
adrenergic receptor binding (GO:0031690)	2/17	0.12705299779823656	0.757269964955646	0	0	3.5115367077063384	7.244830378998633	UCHL1;RAPGEF2
calcium-release channel activity (GO:0015278)	2/17	0.12705299779823656	0.757269964955646	0	0	3.5115367077063384	7.244830378998633	PKD2;RYR3
phosphoric ester hydrolase activity (GO:0042578)	4/53	0.1288816284099407	0.757269964955646	0	0	2.152011421852692	4.409172069577273	EPHX2;MPPED2;DUSP18;DUSP16
endopeptidase inhibitor activity (GO:0004866)	7/115	0.1297575343695883	0.757269964955646	0	0	1.7104504642383431	3.492889837825718	BST2;SPINK2;SERPINE2;SPOCK3;SPINT2;SERPINI1;SERPINB6
transmembrane receptor protein serine/threonine kinase activity (GO:0004675)	2/18	0.139618115453083	0.757269964955646	0	0	3.2918946648426815	6.481228146546972	LTBP4;BMPR1B
cadherin binding involved in cell-cell adhesion (GO:0098641)	2/18	0.139618115453083	0.757269964955646	0	0	3.2918946648426815	6.481228146546972	KRT18;CNN3
oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor (GO:0016628)	2/18	0.139618115453083	0.757269964955646	0	0	3.2918946648426815	6.481228146546972	PECR;AKR1C1
retinoic acid receptor binding (GO:0042974)	2/18	0.139618115453083	0.757269964955646	0	0	3.2918946648426815	6.481228146546972	PRMT2;NRIP1
calcium ion transmembrane transporter activity (GO:0015085)	4/55	0.14207880473108145	0.757269964955646	0	0	2.067403641840824	4.034276499430313	CACNB2;TRPC1;PKD2;ATP2C1
GTPase regulator activity (GO:0030695)	12/233	0.14946671062960834	0.757269964955646	0	0	1.434357761028235	2.7262573788444113	PREX2;SYDE2;ARHGAP22;GPSM2;ALS2;ALDH1A1;RHOH;RAPGEF2;SH3BP4;GNB5;TBC1D3I;DOCK1
sodium channel activity (GO:0005272)	3/38	0.16179762669511663	0.757269964955646	0	0	2.258160469667319	4.113033673287539	SCN9A;PKD2;SCN3A
transcription coactivator binding (GO:0001223)	2/20	0.165470294123154	0.757269964955646	0	0	2.9258245934032527	5.263451920047984	THRB;RPL23
microtubule plus-end binding (GO:0051010)	2/20	0.165470294123154	0.757269964955646	0	0	2.9258245934032527	5.263451920047984	DST;PAFAH1B1
RNA 2'-O-methyltransferase activity (GO:0062105)	1/5	0.170316514021151	0.757269964955646	0	0	6.578893442622951	11.64527774242234	HENMT1
RNA strand annealing activity (GO:0033592)	1/5	0.170316514021151	0.757269964955646	0	0	6.578893442622951	11.64527774242234	EIF4B
single-stranded DNA 3'-5' exodeoxyribonuclease activity (GO:0008310)	1/5	0.170316514021151	0.757269964955646	0	0	6.578893442622951	11.64527774242234	EXD2
alpha-2A adrenergic receptor binding (GO:0031694)	1/5	0.170316514021151	0.757269964955646	0	0	6.578893442622951	11.64527774242234	UCHL1
annealing activity (GO:0097617)	1/5	0.170316514021151	0.757269964955646	0	0	6.578893442622951	11.64527774242234	EIF4B
transforming growth factor beta receptor activity, type I (GO:0005025)	1/5	0.170316514021151	0.757269964955646	0	0	6.578893442622951	11.64527774242234	BMPR1B
uridine transmembrane transporter activity (GO:0015213)	1/5	0.170316514021151	0.757269964955646	0	0	6.578893442622951	11.64527774242234	SLC29A2
voltage-gated calcium channel activity involved in cardiac muscle cell action potential (GO:0086007)	1/5	0.170316514021151	0.757269964955646	0	0	6.578893442622951	11.64527774242234	CACNB2
chondroitin sulfotransferase activity (GO:0034481)	1/5	0.170316514021151	0.757269964955646	0	0	6.578893442622951	11.64527774242234	CHST12
chromatin insulator sequence binding (GO:0043035)	1/5	0.170316514021151	0.757269964955646	0	0	6.578893442622951	11.64527774242234	REPIN1
epoxide hydrolase activity (GO:0004301)	1/5	0.170316514021151	0.757269964955646	0	0	6.578893442622951	11.64527774242234	EPHX2
ketosteroid monooxygenase activity (GO:0047086)	1/5	0.170316514021151	0.757269964955646	0	0	6.578893442622951	11.64527774242234	AKR1C1
large ribosomal subunit rRNA binding (GO:0070180)	1/5	0.170316514021151	0.757269964955646	0	0	6.578893442622951	11.64527774242234	RPL23
oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor (GO:0016671)	1/5	0.170316514021151	0.757269964955646	0	0	6.578893442622951	11.64527774242234	MSRB3
phosphatidylcholine flippase activity (GO:0140345)	1/5	0.170316514021151	0.757269964955646	0	0	6.578893442622951	11.64527774242234	ATP8B2
rDNA binding (GO:0000182)	1/5	0.170316514021151	0.757269964955646	0	0	6.578893442622951	11.64527774242234	TSPYL2
