Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Immune System Homo sapiens R-HSA-168256	141/1547	4.290596149676926E-22	4.608100264753018E-19	0	0	2.8048172108322484	137.99825873103018	CD86;IL1RN;NCF2;NCF4;UBE2D3;EIF4A3;INPPL1;IRS2;IL1RAP;IFI30;ACTB;ICAM1;CDC20;MT2A;GRAP2;CLEC5A;C3AR1;AP1S3;KPNA2;CD96;NUP210;PRKCD;CD180;UBE2E2;CYBB;CYBA;PRKCA;OSCAR;TYROBP;CD8A;PSME3;CD300E;PRTN3;KIF20A;CD300C;ATP6V0D1;VCL;CFD;CSF1R;C5AR2;IQGAP1;CD1D;PHB;PLD1;DTX4;CSF2RA;RASGRP4;C2;RASGRP3;RACGAP1;CLEC7A;CD300LB;SLAMF6;CD14;MAP2K7;PAG1;CTSA;VCAM1;SMURF1;SH2D1A;LY86;ARTN;KIF4B;TAB3;CALM1;IL7R;IGHM;ITK;SIGLEC9;ITGAM;FLT3;SH3KBP1;ITGB2;PTPRJ;AP2A1;CD3G;ARRB2;KIF11;CD3E;CD3D;TREM1;SIRPB1;TNFSF13B;KIF15;FCGR3A;MRC1;CASP1;CTLA4;CTSH;ITGB7;CD36;RAC1;CTSE;CTSD;CD33;CTSC;CTSB;CCR2;HAVCR2;DUSP5;FCER1G;KIF23;GAB2;TNFRSF1B;IL17RA;VAV2;FGR;HCK;NRG4;ATP6V1B2;IRF8;TLR8;BPI;TLR7;TLR5;TLR4;HBEGF;TLR2;LILRA6;C1QA;UNC93B1;NOD2;CBL;SAMHD1;LILRA2;FYB;IGKC;PSMB3;WASF2;POLR2K;IL32;TRAT1;MYO9B;LILRB1;LILRB4;CENPE;CD4;FCGR2A;IL2RB;TRIM38;PTPN2
Cell Cycle, Mitotic Homo sapiens R-HSA-69278	56/462	4.1298805096230484E-14	1.935718694360939E-11	0	0	3.594612665966186	110.77856762731729	RB1;TOP2A;BUB1B;MCM10;FOXM1;CKS1B;CDC20;NUF2;BANF1;MYBL2;GTSE1;PHLDA1;RAB8A;NUP210;TUBB;PRKCA;KIF23;ESCO2;TUBG1;MASTL;TUBA4A;CCNA2;CCNA1;TFDP1;ESPL1;CCNE2;CCNE1;PSME3;KIF20A;ANAPC15;PCNA;RAB1B;CDCA8;HMMR;ARPP19;NCAPH;AURKB;AURKA;POLD3;CCNB2;ORC1;PSMB3;E2F2;E2F4;PLK4;CDKN2C;CDKN2A;PLK1;NDC80;CENPE;TPX2;CENPF;CDK1;NCAPD2;SPC24;SPC25
Cell Cycle Homo sapiens R-HSA-1640170	63/566	5.4070354591087686E-14	1.935718694360939E-11	0	0	3.279058516036647	100.1702873802502	RB1;TOP2A;HJURP;BUB1B;MCM10;BRCA1;FOXM1;BRCA2;SYNE2;CKS1B;CDC20;NUF2;BANF1;MYBL2;GTSE1;PHLDA1;RAB8A;ZNF385A;NUP210;TUBB;PRKCA;KIF23;ESCO2;TUBG1;MASTL;TUBA4A;CCNA2;CCNA1;TFDP1;ESPL1;CCNE2;CCNE1;PSME3;KIF20A;ANAPC15;PCNA;RAB1B;CDCA8;HMMR;ARPP19;NCAPH;AURKB;AURKA;POLD3;CCNB2;ORC1;PSMB3;E2F2;E2F4;PLK4;CENPW;CDKN2C;CDKN2A;PLK1;NDC80;CENPE;TPX2;CENPF;RAD51;CDK1;NCAPD2;SPC24;SPC25
Hemostasis Homo sapiens R-HSA-109582	61/552	1.9115623571153998E-13	5.1325449288548485E-11	0	0	3.2455638025604534	95.04856018574817	CD84;SERPINA1;DGKD;DAGLA;ITGAM;ITGB2;PDE3B;PLEK;F13A1;HBB;ARRB2;KIF11;TREM1;KIF15;BSG;ITGAX;KIF1C;SIRPA;QSOX1;TIMP1;CD36;RAC1;SRGN;SERPINB2;FCER1G;ACTN1;PRKCD;PLAUR;PRKCA;KIF23;GAB2;SERPINB8;TUBA4A;VAV2;FGR;SLC7A5;DOK2;PRTN3;KIF20A;KIF20B;ALDOA;VCL;CFD;SELPLG;CSF2RA;THBS1;PIK3R6;PIK3R5;GNAI2;RACGAP1;MFN2;FLNA;HBG2;VEGFA;CD2;CENPE;P2RX4;KIF4B;KIF26B;IL2RB;CALM1
Adaptive Immune System Homo sapiens R-HSA-1280218	72/762	2.858953081035402E-12	6.141031218064044E-10	0	0	2.7390565340559183	72.80567192308928	CD86;ITK;IGHM;SIGLEC9;NCF2;SH3KBP1;UBE2D3;NCF4;ITGB2;IRS2;CD3G;PTPRJ;AP2A1;KIF11;IFI30;CD3E;TREM1;CD3D;ICAM1;KIF15;CDC20;FCGR3A;GRAP2;MRC1;CTLA4;CTSH;ITGB7;AP1S3;CD36;RAC1;CTSE;CTSD;CD33;CTSC;CTSB;CD96;UBE2E2;CYBB;KIF23;CYBA;OSCAR;TYROBP;NRG4;CD8A;PSME3;CD300E;KIF20A;CD300C;HBEGF;LILRA6;CD1D;LILRA2;CBL;FYB;RASGRP3;RACGAP1;IGKC;PSMB3;CD300LB;SLAMF6;PAG1;CTSA;VCAM1;SMURF1;TRAT1;SH2D1A;LILRB1;LILRB4;CENPE;CD4;KIF4B;CALM1
Innate Immune System Homo sapiens R-HSA-168249	71/807	1.0816744242064454E-10	1.9361972193295373E-8	0	0	2.5223425681077423	57.88105426400293	CD86;ITK;ITGAM;UBE2D3;ITGB2;CD3G;IRS2;ARRB2;TREM1;ACTB;SIRPB1;FCGR3A;GRAP2;CLEC5A;C3AR1;CASP1;CD36;RAC1;CTSB;CCR2;DUSP5;FCER1G;PRKCD;CD180;PRKCA;GAB2;VAV2;FGR;HCK;TYROBP;NRG4;PSME3;TLR8;CD300E;BPI;TLR7;TLR5;TLR4;VCL;HBEGF;TLR2;CFD;C1QA;UNC93B1;C5AR2;IQGAP1;PHB;NOD2;PLD1;DTX4;CSF2RA;RASGRP4;C2;RASGRP3;IGKC;PSMB3;CLEC7A;CD300LB;CD14;MAP2K7;WASF2;POLR2K;TRAT1;LY86;MYO9B;CD4;FCGR2A;ARTN;IL2RB;TAB3;CALM1
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell Homo sapiens R-HSA-198933	26/157	3.9664414494399366E-10	6.085654452426416E-8	0	0	5.038634887120351	109.07627531318046	LILRA6;SIGLEC9;ITGB2;CD3G;CD1D;CD3E;LILRA2;TREM1;CD3D;ICAM1;FCGR3A;IGKC;CD300LB;SLAMF6;ITGB7;CD33;CD96;VCAM1;SH2D1A;LILRB1;LILRB4;OSCAR;TYROBP;CD8A;CD300E;CD300C
Signaling by Rho GTPases Homo sapiens R-HSA-194315	41/367	1.384612734011913E-9	1.8588425954109932E-7	0	0	3.2245465366974386	65.77380158213573	ARHGAP11B;NCF2;ITSN1;NCF4;KIF14;ARHGAP1;CDCA8;BUB1B;ARHGAP18;IQGAP1;IQGAP3;ACTB;AURKB;CDC20;FGD4;RACGAP1;ARHGDIA;NUF2;FLNA;RAC1;SRGAP2;ECT2;WASF2;PLK1;CYBB;MYO9B;CYBA;RHOF;GMIP;NDC80;VAV2;CIT;CENPE;CENPF;DIAPH2;DIAPH3;PRC1;RHOU;CALM1;SPC24;SPC25
G0 and Early G1 Homo sapiens R-HSA-1538133	10/25	1.4401364289667536E-8	1.7185628052336593E-6	0	0	16.672743055555557	301.04209647267396	TOP2A;CCNA2;CCNA1;PCNA;TFDP1;CCNE2;CCNE1;CDK1;MYBL2;E2F4
Platelet activation, signaling and aggregation Homo sapiens R-HSA-76002	30/253	6.001165858929378E-8	6.445252132490152E-6	0	0	3.4170043883839716	56.82043307680995	CFD;SERPINA1;DGKD;DAGLA;PLEK;F13A1;ARRB2;CSF2RA;THBS1;PIK3R6;PIK3R5;GNAI2;FLNA;QSOX1;TIMP1;CD36;RAC1;SRGN;FCER1G;ACTN1;PRKCD;PRKCA;GAB2;TUBA4A;VAV2;VEGFA;IL2RB;CALM1;ALDOA;VCL
