Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NFAT2 (human)	71/1376	0.0021804993602801766	0.39433697758242664	0	0	1.4761977520806566	9.046437077928399	PECR;TP53RK;HIBADH;C2ORF88;PSIP1;LRRC70;PPP1R9A;CDH7;CDC14B;MYLK4;CRHBP;FAM134B;TATDN1;HENMT1;ZFP30;SCN9A;PAAF1;ZNF165;HFM1;DST;DDX58;ZBTB38;TRPC1;PLCB4;CD109;VN1R1;CHMP4C;CRY1;ZNF711;NCOA7;TMEM126B;BCAT1;FREM1;ZNF671;CHRNA5;ATL1;GATA3;ATP2C1;ADCY6;MIPOL1;THBS3;ADAM28;ABLIM1;TSPAN6;TCTEX1D1;SPOCK3;NDN;DNAJB9;TSPAN2;CYYR1;PROM1;SCN3A;WDR17;ZNF462;HLA-DRB5;GABBR1;RBPMS;FZD6;SAMD4A;PDE4DIP;C1ORF21;TTC39B;SLC8A3;LRCH2;NFIA;TNFSF4;MSRB3;ID3;REN;TPT1;ZNF354C
MYB (human)	72/1409	0.0025943222209370174	0.39433697758242664	0	0	1.4607635356777937	8.698014194936645	WDR49;ZNF330;SERPINE2;TP53RK;FAM57A;C2ORF88;ULK4;ICA1;FAM127C;GIMAP6;CDH9;CHRDL1;CDH7;FAM134B;FAM102B;CASP10;PLS3;BAALC;ZNF248;PRKG1;SULT1C4;ZNF165;STARD4;PACRG;LIMCH1;NCR1;POLG2;PALLD;VN1R1;PRR15;VWA2;ERG;FREM1;L3MBTL4;ST6GALNAC5;EXD2;ABCB1;CFH;SEMA3C;FAM117A;JAKMIP2;MYCT1;ADAM28;ABLIM1;TCEAL2;SCN3A;APOL3;GBP4;KLRG1;WDR17;SLC37A1;FZD6;STYK1;CABLES1;NAP1L2;PDE4DIP;SMARCA1;CP;PBX1;FANCF;TTC39B;SLC8A3;TSPAN13;NBEA;KLHL6;ETNK1;ST7;ASB9;FAM26F;MAGED2;MDGA2;BMPR1B
SOX10 (human)	12/139	0.0051443330404291245	0.5212924147634846	0	0	2.508327235794555	13.218532239754623	ZNF559-ZNF177;STARD4;ARMCX1;PLCB4;DDX58;ZNF286B;SAMD4A;ID3;ZNF544;E2F5;CP;RPGR
JUND (human)	63/1380	0.04156363431644375	0.9999942770590278	0	0	1.2815761738007003	4.076091044003072	CNRIP1;C2ORF88;FHL1;LRRC70;GIMAP6;PPP1R9A;DUSP16;TXNDC15;SLC22A17;TRPS1;AKT3;FAM65C;HIBCH;PACRG;DST;LIMCH1;SLC30A4;OR2L2;ZDHHC15;IFT88;POLG2;DPPA4;IFT81;PKP2;PRR15;PIGG;BCAT1;OPTN;PDZRN4;ABCG1;SLC29A2;PAFAH1B1;C11ORF54;BHLHB9;CFH;SEMA3C;SOCS2;MYCT1;ABLIM1;ZNF706;TCEAL2;BEND4;TSPAN2;CYYR1;SCN3A;MYH10;ZNF300;GBP4;IL12RB2;MYEF2;AKR1C1;CYP51A1;ELP2;PDE4DIP;CDC42BPA;CP;BTBD8;FANCF;TNFSF4;ID3;GNB5;FBXL4;BEX5
POU2F2 (human)	118/2792	0.051714257532887914	0.9999942770590278	0	0	1.1906124012623822	3.5266198416413563	SPON1;TP53RK;C2ORF88;GIMAP2;WDR89;CDC14B;FAM134B;AKT3;DPYSL3;FAM19A2;HIST1H2AE;HIST1H2AC;STARD4;ST6GAL2;RPL23;ZNF10;C6ORF141;TC2N;CASD1;CACNB2;EMCN;TMEM136;OR2L13;PARD3;CD109;CHMP4C;TMEM126B;ERG;HIST1H2BG;FREM1;PHLDB2;EXD2;BEX2;ARHGAP22;ACTR3C;SCN3A;NHEJ1;GSTM3;FZD3;HLA-DRB5;SLC37A1;FANCL;SHFM1;RASSF9;PBX1;WDR54;PTPRD;PPFIBP1;HOOK1;TRIP6;SSPN;MAGED2;FBXL4;HLA-DRB1;CNRIP1;FHL1;FHL2;ICA1;PSIP1;PPP1R9A;CASP10;MMP28;PRKG2;ME3;ZNF248;TAS2R5;PCYT1B;PACRG;DST;PRMT2;TSC22D1;DDX58;MLF1;SERPINB6;ZDHHC15;ALS2;PALLD;PLSCR4;ALDH1A1;NCOA7;CXORF57;NUP62CL;L3MBTL4;PIGH;ITGA9;ZNF594;SEMA3C;HIST1H2BJ;ATL1;KIAA1324L;GNAI1;MIPOL1;FAM117A;TCEAL2;NRIP1;GCNT2;GPC5;CYYR1;APOL3;GBP4;EGLN3;ARMCX5-GPRASP2;AKR1C1;CYP51A1;MBOAT1;PDE4DIP;KLHL3;SLC8A3;SLC4A8;TSPAN13;NFIA;ETNK1;ASB9;MSRB3;F2RL1;MITD1;ZNF334;PFKM
TEAD2 (human)	65/1486	0.0774708742131924	0.9999942770590278	0	0	1.2220351696325857	3.1257866056515766	CNRIP1;ELN;C2ORF88;FHL1;FHL2;MSI2;PPP1R9A;RYR3;PREX2;FAM134B;UCHL1;MECOM;ZFP30;SCRN1;CFL2;SLC18A2;TSPYL2;ARG2;CAMK1D;PRMT2;ARHGEF17;TPM1;NOG;CTDSPL;HDGFRP3;LDOC1;TC2N;OBSCN;SETBP1;SLC9A7;PKP2;NCOA7;SLC29A2;FAM84B;EXD2;ADAM22;FIGN;GATA3;LTBP3;MLLT3;ATP2C1;PRKCZ;TMEM163;PNMA1;TP53INP1;ATP6V0A2;SH3BP4;TSPAN2;ZBED5;S1PR4;S100PBP;ABCA2;MYEF2;LRBA;CYP51A1;PDE4DIP;PHOSPHO2-KLHL23;NMI;CCS;MORN4;HOOK1;MAGED4;TAB2;LPIN1;FBXL4
BRCA1 (human)	77/1809	0.09233933339473879	0.9999942770590278	0	0	1.1883510885484143	2.830991069191092	ZNF330;SPON1;PSIP1;LRRC70;MSI2;ENO2;PPP1R9A;CDH7;TMEM220;ZNF204P;MECOM;BCL7A;RNF17;HIST1H2AE;PLS3;PRKG2;ZNF404;ME3;ZNF385D;GPRASP1;SLC16A2;CALN1;PRORSD1P;MME;RPL22;RHOH;OR2L2;CMBL;SYTL4;HSPG2;BIVM-ERCC5;MLF1;ARMCX1;PLCB4;ARMCX2;IFT81;TAL1;DDAH2;VWA2;ALDOC;EFHC2;HIST1H2BG;PLA2R1;PHLDB2;RAPGEF3;PDZRN4;ABCG1;EXD2;ZNF671;RALA;TARSL2;INSIG1;ATP2C1;PRKCZ;SOCS2;PARD6B;DRAM1;TMEM67;RSBN1L;TCEAL2;ATP6V0A2;NDN;METTL6;BEND7;ZNF662;ZNF462;ATP8B2;LRBA;SMARCA1;NFIA;GKAP1;TRIP6;ASB9;EBPL;MITD1;MDGA2;SERGEF
PURA (human)	24/492	0.09569899193988148	0.9999942770590278	0	0	1.3597338251781128	3.190680027339659	NPDC1;ZNF462;TSC22D1;DAPK1;C2ORF88;ICA1;PSIP1;CMBL;MLF1;REPIN1;SYDE2;CRHBP;CACNB2;ABLIM1;MECOM;PPCS;TCEAL2;PLSCR4;MPPED2;IDS;BCAT1;SAMD13;NHEJ1;ZNF354C
MIR210 (human)	5/70	0.1136324600359888	0.9999942770590278	0	0	2.028951817413356	4.41253615683552	MREG;CD109;ZNF10;DCLK2;HES1
Lhx3 (mouse)	2/16	0.11477797200412879	0.9999942770590278	0	0	3.7625561852648035	8.14501492982984	EDARADD;ATP6V0A2
HOXD9 (human)	65/1543	0.13195877164169917	0.9999942770590278	0	0	1.1711539708134475	2.3718980147946125	CCDC127;CNRIP1;C2ORF88;FHL2;PLOD2;MSI2;CDH7;SENP7;SCRN1;BCL7A;CASP10;MED10;RASSF6;TMEM38B;SAMD13;ZNF521;SLC18A2;CA13;TSC22D1;SDHC;LSR;HSPG2;PLCB4;TMEM136;CLDN15;DPPA4;IFT81;PALLD;TRAF5;ZNF711;ERG;PIGH;ABCB1;SLC45A3;HLF;GATA3;DTX3;ADCY6;MIPOL1;JAKMIP2;SLC25A27;REPIN1;ACTR3C;ABI3BP;GNA12;DNAJB9;CYTL1;HES1;SCAI;GBP4;ZNF462;CMTM8;ABCA5;FZD6;PDE4DIP;SGCZ;CRYGD;ETNK1;ZNF418;ST7;F2RL1;EBPL;GNB5;BMPR1B;GSTM5
Tal1::Gata1 (mouse)	2/18	0.139618115453083	0.9999942770590278	0	0	3.2918946648426815	6.481228146546972	ATP6V0A2;SHANK3
POU3F1 (human)	9/162	0.1415704903417305	0.9999942770590278	0	0	1.5529736756581085	3.035997567115793	ZNF781;ZNF285;EMCN;DST;SH3TC1;GCNT2;SLC25A30;PHOSPHO2-KLHL23;SULT1C4
TCF4 (human)	166/4210	0.15062278500733783	0.9999942770590278	0	0	1.1020825592207062	2.086216584249812	CHRM3;ZNF330;SPON1;TMEM200A;C2ORF88;PLOD2;LRRC70;SPINT2;TMEM91;CDC14B;MYLK4;PREX2;CRHBP;NUDT10;ZFP30;PPAT;AKT3;DPYSL3;SAMD13;STARD4;LAG3;TSPYL1;ST6GAL2;LIMCH1;RPL22;SLC30A4;LDOC1;OR2L2;VWDE;CMBL;TC2N;CASD1;CACNB2;ARMCX1;EMCN;TMEM136;OR2L13;PKP2;SPIN2B;ERG;PLA2R1;PHLDB2;OPTN;ABCG1;TSPYL5;TMEM63A;SLC45A3;BHLHB9;INSIG2;TRANK1;NTPCR;LTBP3;SOCS2;ARHGAP22;ACTR3C;ATXN1;APH1B;TSPAN6;TSPAN2;CYTL1;PROM1;ZNF302;MYH10;ZNF300;ZKSCAN1;ZNF662;GSTM3;ZNF781;FZD3;STAC;FZD6;SMARCA1;CP;FANCF;PTPRD;EFNA1;EHD2;ZNF559-ZNF177;PPFIBP1;LRCH2;TMEM98;GKAP1;TNFSF4;PKIA;MYO5C;ID3;FAM26F;LRRN1;GNB5;ZNF135;DZIP3;ZNF770;HIBADH;FAM127C;PPP1R9A;SENP7;BCL7A;CASP10;PRKG2;IDS;ME3;RNF150;GPRASP1;ZNF521;SLC18A2;PRKG1;PAAF1;DACT1;ARG2;PCYT1B;CDADC1;HMGCS1;RHOH;REXO2;PLCB4;DPPA4;DDAH2;PLSCR4;MPPED2;RBM12B;CRY1;RAPGEF2;NCOA7;TMEM9;L3MBTL4;PDZRN4;ITGA9;C11ORF54;SEMA3C;KIAA1324L;HSD17B14;FIGN;KCNA6;MLLT3;FAM169A;MIPOL1;FAM117A;THBS3;SLC25A27;ZNRF1;MYCT1;ABLIM1;DRAM1;RSBN1L;GNA12;GPC5;HES1;CYYR1;E2F5;JAM2;APOL3;IL12RB2;MYEF2;ARMCX5-GPRASP2;CABLES1;PDE4DIP;KLK10;DCBLD2;TTC39B;SLC8A3;CRYGD;MORN4;NFIA;KLHL5;ETNK1;MSRB3
NCOA1 (human)	5/79	0.16371543585781426	0.9999942770590278	0	0	1.781352093852094	3.2235801832712676	MECOM;ICA1;GATA3;PLA2R1;BMP6
CRTC3 (human)	43/1008	0.16887535625335137	0.9999942770590278	0	0	1.181926860403995	2.1021684633724558	SPON1;TMEM63A;SEMA3C;C2ORF88;PLOD2;TM2D3;RPGR;ZNF286B;PLS3;FAM65C;IL12RB2;CMTM8;STARD4;TSPYL1;MYEF2;ABCA5;DAPK1;SHFM1;AKR1C1;STYK1;PDE4DIP;OR2L2;PHOSPHO2-KLHL23;DDX50;SLC8A3;CACNB2;IFT88;LRCH2;NFIA;POLG2;IFT81;PALLD;ARMC4;MAGED4;PRR15;SPIN2B;RAB38;PLA2R1;MDGA2;FREM1;DOCK1;ANKRD36B;ABCG1
HOXA5 (human)	119/3000	0.18317197140211594	0.9999942770590278	0	0	1.1023215111473916	1.871003186402645	CHRM3;PECR;ZNF330;SPON1;TMEM200A;MSI2;TMEM91;CDH9;CRHBP;GPR173;DACH1;RASSF6;PLS3;FAM65C;SLC16A2;SAMD13;CALN1;SPINK2;OR2L8;DAPK1;ZBTB38;HIST1H2AK;ZNF10;LDOC1;SDHC;SYTL4;SLC9A7;PARD3;SPIN2B;ERG;PLA2R1;ANKRD36B;BEX4;ZNF154;ZNF671;BEX1;SLC45A3;NTPCR;ABO;C2ORF27B;STK33;OR2AK2;ZBED5;SDR42E1;FANCL;LRBA;FZD6;KLHDC1;BTBD8;TMEM232;EHD2;HOOK1;GIPC2;SSPN;MAGED2;GSTM5;BEX5;FBN1;FHL1;ICA1;DPY30;CLEC9A;CROT;FAM127C;ARHGAP5;CHRDL1;MECOM;ZNF404;SERAC1;HIBCH;ANKRD6;RBM14;HMGCS1;SLC2A10;MIR23A;LSR;SYS1-DBNDD2;ZNF75A;ZDHHC15;METTL23;TRAF5;MPPED2;RAPGEF2;SNORA68;EFHC2;CXORF57;BCAT1;DOCK1;ST6GALNAC5;SLC29A2;FAM84B;SEPT5-GP1BB;ATL1;KIAA1324L;HMGCR;ACTR3BP2;ABLIM1;ARVCF;TMEM67;RSBN1L;TRA2A;GCNT2;DNAJB9;GPC5;GBP4;EGLN3;GABBR1;CABLES1;PDE4DIP;TMEM64;KLK10;BAIAP3;SH3YL1;KRT18;SLC25A30;MSRB3;LPIN1;ZNF334;PFKM
CEBPE (human)	7/127	0.1852292694138707	0.9999942770590278	0	0	1.538441230486685	2.5940594914338067	SENP7;TATDN1;ADAM28;DRAM1;EBPL;TMEM9;TMEM91
POU1F1 (human)	58/1408	0.19145304101650867	0.9999942770590278	0	0	1.140396159122085	1.8852033931264502	TP53RK;CNRIP1;FHL1;ICA1;LRRC70;CLEC9A;PARK2;TRO;MECOM;FAM19A2;PLS3;SAMD13;ZNF285;TSPYL1;HFM1;OR2L2;C6ORF141;BIVM-ERCC5;MLF1;ZDHHC15;EMCN;POLG2;PALLD;MPPED2;ALDH1A1;VN1R1;FREM1;ST6GALNAC5;BEX2;ABCB1;BHLHB9;KIAA1324L;ATXN7L3B;SLC25A27;MYCT1;ABI3BP;TCTEX1D1;SPOCK3;BEND4;GPC5;CYYR1;GBP4;IL12RB2;SHFM1;FZD6;NAP1L3;NAP1L2;FANCF;TMEM232;TSPAN13;MORN4;TNFSF4;ST7;MYO5C;FAM26F;MDGA2;PFKM;FBXL4
EBF1 (mouse)	2/22	0.19206076667989208	0.9999942770590278	0	0	2.63296853625171	4.344249227051552	TARSL2;ATP6V0A2
GATA6 (human)	59/1447	0.21143735008507583	0.9999942770590278	0	0	1.1275761294350046	1.7520577174425358	TP53RK;C2ORF88;ICA1;PPP1R9A;CDH9;PREX2;FAM102B;ABHD10;CASP10;CFL2;AKT3;RASSF6;SCN9A;FAM19A2;PRKG2;AASS;SULT1C4;EDARADD;PCYT1B;TSC22D1;LIMCH1;STARD9;RBM12B;ALDH1A1;ZNF711;BCAT1;ST6GALNAC5;PDZRN4;TSPYL5;ZNF474;BEX4;RALA;BHLHB9;CHRNA5;ATL1;ATXN7L3B;GNAI1;ADAM28;ERMP1;TCTEX1D1;GNA12;GCNT2;MPDZ;RGAG4;GBP4;ABCA5;RBPMS;AADAT;NAP1L3;PDE4DIP;LHFPL2;BMP6;TTC39B;LRCH2;GKAP1;TNFSF4;REN;MITD1;FAM26F
