Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4718	7/46	0.0013291913361191399	0.39378884952052273	0	0	4.753690753690754	31.48457110598811	EBP;HMGCS1;SCD;CYP51A1;NR1H3;HMGCR;ABCG1
SREBF and miR33 in cholesterol and lipid homeostasis WP2011	4/16	0.0022894700553518763	0.39378884952052273	0	0	8.80429812528578	53.52515733753921	HMGCS1;SCD;NR1H3;HMGCR
Cell-type Dependent Selectivity of CCK2R Signaling WP3679	3/13	0.010649579799210804	0.9074679785277353	0	0	7.913835616438356	35.94649987937998	TRPC1;RYR3;GNAI1
Sterol regulatory element-binding proteins (SREBP) signaling WP1982	7/69	0.013021655992953764	0.9074679785277353	0	0	2.9866480049764506	12.965461486476011	HMGCS1;INSIG2;SCD;INSIG1;CYP51A1;HMGCR;LPIN1
Kennedy pathway from sphingolipids WP3933	3/14	0.013189941548368247	0.9074679785277353	0	0	7.194022415940224	31.137892573639885	PCYT1B;ETNK2;ETNK1
Cholesterol Biosynthesis Pathway WP197	3/15	0.01604544583173125	0.9199388943525916	0	0	6.594178082191781	27.24932135502823	HMGCS1;CYP51A1;HMGCR
Cholesterol Biosynthesis with Skeletal Dysplasias WP4804	2/7	0.024920503668819483	0.9525170291193225	0	0	10.540082079343366	38.914661542469666	EBP;CYP51A1
Hfe effect on hepcidin production WP3924	2/7	0.024920503668819483	0.9525170291193225	0	0	10.540082079343366	38.914661542469666	ID1;BMP6
Mevalonate pathway WP3963	2/7	0.024920503668819483	0.9525170291193225	0	0	10.540082079343366	38.914661542469666	HMGCS1;HMGCR
Genes related to primary cilium development (based on CRISPR) WP4536	8/103	0.03548920723458295	0.9792739193674108	0	0	2.226874773139746	7.4344807769760415	IFT88;EVC;IFT81;IFT172;TMEM67;BBS9;DYNLL1;TXNDC15
Pathways in clear cell renal cell carcinoma WP4018	7/85	0.036317989241905164	0.9792739193674108	0	0	2.3720244402062582	7.8643096653481575	DEPTOR;SSPN;PLOD2;ALDOC;ENO2;ACACB;PFKM
Globo Sphingolipid Metabolism WP1424	3/21	0.0398928307099501	0.9792739193674108	0	0	4.394748858447489	14.157941211312773	ST6GAL2;ABO;ST6GALNAC5
Nicotine Activity on Dopaminergic Neurons WP1602	3/21	0.0398928307099501	0.9792739193674108	0	0	4.394748858447489	14.157941211312773	CHRNA5;GNAI1;SLC18A2
Fatty Acid Biosynthesis WP357	3/22	0.044971151724539866	0.9792739193674108	0	0	4.163229992790194	12.913232299786717	PECR;SCD;ACACB
Liver X receptor pathway WP2874	2/10	0.049661234462095194	0.9792739193674108	0	0	6.586525307797538	19.776244053941994	SCD;NR1H3
Mevalonate arm of cholesterol biosynthesis pathway WP4190	2/11	0.059255100666787804	0.9792739193674108	0	0	5.85438516491868	16.543927033014842	HMGCS1;HMGCR
Bone morphogenic protein (BMP) signaling and regulation WP1425	2/12	0.06942242250935049	0.9792739193674108	0	0	5.268673050615595	14.054424416645231	NOG;BMPR1B
NO metabolism in cystic fibrosis WP4947	2/13	0.08010840644479467	0.9792739193674108	0	0	4.78945404800398	12.090375576901712	PRMT2;DDAH2
